,column_0,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_31,column_32,column_33,column_34,column_35,column_36,column_37,column_38,column_39,column_40,column_41,timestamp
2712,201.7626549,137.3098541,171.6227667,156.5692055,166.3327823,166.5497901,153.7585542,122.1587844,150.8746634,151.0079952,259.4171711,154.9048989,166.3985283,152.2402344,164.7399146,154.2072285,151.2794587,172.6538661,182.0362272,186.8490863,183.7839211,198.0661232,197.3167928,172.816451,192.8175583,192.3793278,278.0043695,173.8058925,204.902811,188.5416877,185.7699829,191.4383066,198.7321612,195.3663862,192.133289,184.8369009,177.9557314,154.7648433,199.3890694,173.1640712,205.1945775,189.7856567,26/06/2009
2713,201.2585591,137.5850983,173.2854813,157.7892753,166.9197427,166.4874727,154.1515561,122.8998448,150.5411274,151.7567063,259.6993631,155.3142753,167.3350615,152.7983874,165.1537858,155.1300884,151.7184759,172.5042711,182.2029462,188.6921315,185.8069932,199.1301964,197.9312523,174.4179688,193.414854,192.369339,278.3324259,174.3231575,206.0792238,189.4757796,185.6006188,191.0828007,198.7080618,196.4125351,192.2768792,184.7499389,179.0170005,155.6668141,200.42575,173.8909589,206.3331608,191.3001321,29/06/2009
2714,201.4148288,137.6729914,172.8973959,157.3392692,167.6720246,166.7089625,154.3222615,124.0558326,150.8077825,151.286707,260.5081032,155.8291809,166.946233,152.5629298,164.7930644,154.5035064,151.5361282,172.1923316,182.0362272,186.9623991,184.0393965,197.5767544,196.8087015,173.551343,193.7573976,193.7339603,278.4165076,172.5567095,205.2055041,188.2627452,185.2185359,190.4198851,197.6104906,195.2781598,191.5056654,184.3359633,178.3445548,155.628003,199.4113903,172.5574026,205.5685404,190.6351358,30/06/2009
2715,201.8617937,137.6899532,171.8435126,156.6173345,168.0832442,167.2105054,154.5650426,124.2774039,151.949101,150.834641,260.854143,156.2720718,166.3416674,152.2817359,164.4802649,153.9798332,151.2103221,171.9526396,181.9959569,185.0042741,181.9313692,196.2495233,195.550727,173.4204378,193.9110327,193.9145268,274.2289641,172.9319486,204.0503616,186.9587457,185.103755,190.2492308,196.4594815,193.9500806,190.8140713,184.1710978,177.6266622,154.7081791,198.1233931,172.5470526,204.58021,188.9464742,01/07/2009
2716,202.1029196,137.4879532,172.4502076,157.0360566,168.0846334,167.6752585,154.6052532,124.5645337,152.0168505,151.2665322,261.126876,156.5908757,166.8116063,152.6755768,164.8862943,154.3947882,151.6977349,172.3793253,182.311676,185.6397536,182.6681219,196.4635774,196.0234465,173.4312085,194.2778758,193.8484471,273.7361903,173.3870773,204.5600314,187.4954643,185.4583904,190.8330484,197.0700874,194.3219625,191.2624131,184.5098874,178.1779162,156.652617,198.3292412,173.0080252,205.0451594,189.2176211,02/07/2009
2717,202.1642512,137.5265029,172.8916992,157.3609273,168.1249219,167.7240613,154.6447051,124.6018771,152.0585425,151.5721438,261.1915122,156.6335306,167.1184882,152.9279737,165.1102204,154.6470808,152.1255174,172.5221205,182.401076,185.819773,182.8292929,196.7205378,196.1598807,173.5041177,194.3264746,193.8999278,273.8216503,173.5428216,205.0009817,187.6375814,185.5572641,190.8669475,197.2778139,194.4064923,191.3697626,184.5778265,178.3681198,156.9739733,199.0112679,173.1752173,205.3848979,189.646651,03/07/2009
2718,202.1138416,137.4216479,173.7896363,158.077247,166.7391395,166.991268,154.5491101,124.0608118,151.4818032,152.1639393,260.7816244,156.393943,167.7932938,153.4691872,165.6391043,155.2686833,152.682931,173.192748,182.6612221,187.0308728,184.0835,197.7455187,196.8988997,173.4825763,194.308446,193.8515206,274.2661806,174.3134739,205.8591577,188.4902836,185.8311162,191.2256405,197.8486033,195.262141,191.8875659,184.8740409,179.1424003,158.0063495,199.8437539,173.9562434,206.2930934,190.6274133,06/07/2009
2719,202.9346776,137.4440067,174.1221793,158.0227008,167.7970576,167.079864,154.7744412,124.0276176,151.5139408,152.1362923,260.7272355,156.4986414,167.9011623,153.6733069,165.6748279,155.1856924,152.7693518,173.3499928,182.7474006,187.0721778,184.2176398,197.4046529,196.6727725,173.4278944,194.5036253,194.3655587,273.1248751,174.2424609,205.7814392,188.4739049,185.906909,191.3212533,197.8630105,194.865122,191.8161826,184.935639,179.0573977,157.806084,199.6147582,173.8766281,206.3657156,191.4245508,07/07/2009
2720,202.9355177,136.9883503,175.4665926,158.816027,167.7984468,167.0070351,154.5938728,124.493996,151.3489099,152.3985653,260.4316433,156.145769,168.616105,154.2077447,166.0076675,155.3616333,153.2204679,173.8574258,183.0921143,188.6799829,185.9628799,198.4358314,197.3554492,174.137931,194.3586126,194.1765402,272.5700738,174.6491716,206.4432737,189.5397827,186.262792,191.9363624,198.6074729,195.5002045,192.3740703,185.259935,179.4378051,159.067446,200.3480403,174.2739085,207.0777475,192.9115684,08/07/2009
2721,203.4959042,137.3800143,173.9427343,157.3529058,166.8982092,166.4619451,154.6333247,123.5014896,151.3906019,151.5235747,259.9019422,155.856325,167.58341,153.6673781,165.397752,154.3325449,152.6224365,173.5038376,182.9084817,186.3976021,183.7965221,195.6941266,195.2475398,173.6466221,194.2888497,194.357875,273.579054,173.5492774,204.537943,187.7623118,185.8613709,191.1239432,196.8854125,193.1267159,191.0614418,185.3559555,178.2646019,158.1841045,198.5102883,172.9976752,205.7705471,191.3275901,09/07/2009
