Date, Open, High, Low, Close
03/04/2014,1849.23,1876.23,1849.23,1873.91
04/04/2014,1890.25,1897.28,1863.26,1865.09
06/04/2014,1923.06,1928.63,1918.6,1927.88
08/04/2014,1926.62,1942.92,1921.2,1938.99
09/04/2014,2001.67,2011.17,1992.54,1997.65
11/04/2014,2015.81,2015.98,2001.01,2012.1
12/04/2014,2073.64,2077.34,2062.34,2071.92
02/05/2014,1753.38,1755.79,1737.92,1751.64
03/05/2014,1874.05,1876.53,1871.11,1873.81
05/05/2014,1879.45,1885.51,1866.77,1884.66
06/05/2014,1928.52,1941.74,1922.93,1940.46
08/05/2014,1936.34,1936.34,1913.77,1920.21
09/05/2014,1998,2007.71,1990.1,2007.71
11/05/2014,2015.29,2023.77,2014.42,2023.57
12/05/2014,2072.78,2079.47,2070.81,2075.37
01/06/2014,1832.31,1837.16,1823.73,1826.77
02/06/2014,1752.99,1774.06,1752.99,1773.43
03/06/2014,1874.18,1881.94,1874.18,1877.03
05/06/2014,1883.69,1883.69,1867.72,1867.72
06/06/2014,1942.41,1949.44,1942.41,1949.44
08/06/2014,1917.29,1927.91,1911.45,1920.24
10/06/2014,1970.01,1977.84,1958.43,1964.82
11/06/2014,2023.33,2031.61,2015.86,2031.21
01/07/2014,1828.71,1840.1,1828.71,1837.88
02/07/2014,1776.01,1798.03,1776.01,1797.02
03/07/2014,1878.52,1883.57,1870.56,1878.04
04/07/2014,1863.92,1864.04,1841.48,1845.04
05/07/2014,1868.53,1878.83,1859.79,1878.21
07/07/2014,1984.22,1984.22,1974.88,1977.65
08/07/2014,1923.03,1928.89,1904.78,1909.57
10/07/2014,1962.36,1962.36,1934.87,1935.1
11/07/2014,2032.36,2034.26,2025.07,2031.92
01/08/2014,1837.9,1840.02,1831.4,1837.49
04/08/2014,1845.48,1854.95,1837.49,1851.96
05/08/2014,1877.39,1889.07,1870.05,1875.63
07/08/2014,1976.39,1976.39,1959.46,1963.71
08/08/2014,1910.35,1932.38,1909.01,1931.59
09/08/2014,2007.17,2007.17,1995.6,2001.54
10/08/2014,1935.55,1970.36,1925.25,1968.89
12/08/2014,2074.84,2075.78,2054.27,2060.31
01/09/2014,1839,1843.23,1830.38,1838.13
04/09/2014,1852.64,1872.43,1852.38,1872.18
05/09/2014,1875.27,1878.57,1867.02,1878.48
06/09/2014,1948.97,1955.55,1947.16,1951.27
07/09/2014,1965.1,1974.15,1965.1,1972.83
09/09/2014,2000.73,2001.01,1984.61,1988.44
10/09/2014,1967.68,1967.68,1927.56,1928.21
12/09/2014,2056.55,2060.6,2034.17,2059.82
01/10/2014,1840.06,1843.15,1832.43,1842.37
02/10/2014,1796.2,1799.94,1791.83,1799.84
03/10/2014,1877.86,1877.87,1867.04,1877.17
04/10/2014,1872.28,1872.53,1830.87,1833.08
06/10/2014,1950.34,1950.86,1944.64,1950.79
07/10/2014,1966.67,1969.84,1952.86,1964.68
09/10/2014,1988.41,1996.66,1982.99,1995.69
10/10/2014,1925.63,1936.98,1906.05,1906.13
11/10/2014,2032.01,2038.7,2030.17,2038.26
12/10/2014,2058.86,2058.86,2024.26,2026.14
02/11/2014,1800.45,1823.54,1800.41,1819.75
03/11/2014,1878.26,1882.35,1863.88,1867.63
04/11/2014,1830.65,1835.07,1814.36,1815.69
06/11/2014,1949.37,1949.37,1940.08,1943.89
07/11/2014,1965.76,1968.67,1959.63,1967.57
08/11/2014,1933.43,1944.9,1933.43,1936.92
09/11/2014,1992.85,1997.65,1985.93,1997.45
11/11/2014,2038.2,2041.28,2035.28,2039.68
12/11/2014,2027.92,2055.53,2027.92,2035.33
02/12/2014,1820.12,1826.55,1815.97,1819.26
03/12/2014,1866.15,1868.38,1854.38,1868.2
05/12/2014,1880.03,1897.13,1880.03,1896.65
06/12/2014,1943.35,1943.35,1925.78,1930.11
08/12/2014,1935.73,1939.65,1928.29,1933.75
09/12/2014,1996.74,1996.74,1980.26,1985.54
11/12/2014,2037.75,2040.33,2031.95,2038.25
12/12/2014,2030.36,2032.25,2002.33,2002.33
04/01/2015,2067.63,2067.63,2048.38,2059.69
05/01/2015,2087.38,2108.41,2087.38,2108.29
06/01/2015,2108.64,2119.15,2102.54,2111.73
07/01/2015,2067,2082.78,2067,2077.42
09/01/2015,1970.09,1970.09,1903.07,1913.85
10/01/2015,1919.65,1927.21,1900.7,1923.82
12/01/2015,2082.93,2103.37,2082.93,2102.63
01/02/2015,2058.9,2072.36,2046.04,2058.2
02/02/2015,1996.67,2021.66,1980.9,2020.85
03/02/2015,2105.23,2117.52,2104.5,2117.39
04/02/2015,2060.03,2072.17,2057.32,2066.96
06/02/2015,2110.41,2117.59,2099.14,2109.6
07/02/2015,2078.03,2085.06,2071.02,2076.78
09/02/2015,1916.52,1948.91,1916.52,1948.86
10/02/2015,1921.77,1951.36,1893.7,1951.36
11/02/2015,2080.76,2106.2,2080.76,2104.05
12/02/2015,2101.71,2104.27,2077.11,2079.51
02/03/2015,2022.71,2050.3,2022.71,2050.03
03/03/2015,2115.76,2115.76,2098.26,2107.78
06/03/2015,2110.64,2121.92,2109.61,2114.07
08/03/2015,2104.49,2105.7,2087.31,2098.04
09/03/2015,1950.79,1975.01,1944.72,1951.13
11/03/2015,2102.63,2116.48,2097.51,2109.79
12/03/2015,2080.71,2085,2042.35,2049.62
02/04/2015,2048.86,2054.74,2036.72,2041.51
03/04/2015,2107.72,2107.72,2087.62,2098.53
05/04/2015,2110.23,2120.95,2110.23,2114.49
06/04/2015,2112.35,2112.89,2093.23,2095.84
08/04/2015,2097.68,2102.51,2088.6,2093.32
09/04/2015,1947.76,1947.76,1911.21,1921.22
11/04/2015,2110.6,2114.59,2096.98,2102.31
12/04/2015,2051.24,2093.84,2051.24,2091.69
01/05/2015,2054.44,2054.44,2017.34,2020.58
02/05/2015,2043.45,2063.55,2043.45,2062.52
03/05/2015,2098.54,2104.25,2095.22,2101.04
05/05/2015,2112.63,2115.24,2088.46,2089.46
06/05/2015,2095.09,2100.99,2085.67,2092.83
08/05/2015,2095.27,2112.66,2095.27,2099.84
10/05/2015,1954.33,1989.17,1954.33,1987.05
11/05/2015,2101.68,2108.78,2090.41,2099.93
01/06/2015,2022.15,2030.25,1992.44,2002.61
02/06/2015,2062.28,2072.4,2049.97,2055.47
03/06/2015,2100.91,2100.91,2067.27,2071.26
04/06/2015,2064.87,2086.99,2056.52,2080.62
05/06/2015,2091.26,2098.42,2067.93,2080.15
07/06/2015,2073.95,2078.61,2058.4,2068.76
08/06/2015,2100.75,2103.32,2075.53,2083.56
10/06/2015,1986.63,1991.62,1971.99,1979.92
11/06/2015,2098.6,2101.91,2083.74,2099.2
01/07/2015,2005.55,2029.61,2005.55,2025.9
04/07/2015,2080.79,2089.81,2076.1,2076.33
05/07/2015,2079.96,2092.9,2074.99,2088
07/07/2015,2069.52,2083.74,2044.02,2081.34
08/07/2015,2082.61,2082.61,2067.91,2077.57
10/07/2015,1982.34,1999.31,1976.44,1995.83
12/07/2015,2090.42,2090.42,2066.78,2077.07
01/08/2015,2030.61,2064.08,2030.61,2062.14
04/08/2015,2076.94,2086.69,2073.3,2081.9
05/08/2015,2092.13,2117.66,2092.13,2116.1
06/08/2015,2092.34,2093.01,2079.11,2079.28
07/08/2015,2077.66,2077.66,2044.66,2046.68
09/08/2015,1927.3,1970.42,1927.3,1969.41
10/08/2015,1994.01,2016.5,1987.53,2013.43
12/08/2015,2073.39,2073.85,2052.32,2063.59
01/09/2015,2063.45,2064.43,2038.33,2044.81
02/09/2015,2053.47,2056.16,2041.88,2046.74
03/09/2015,2072.25,2083.49,2072.21,2079.43
04/09/2015,2081.29,2093.31,2074.29,2091.18
06/09/2015,2079.07,2085.62,2072.14,2080.15
